doctorId,name,specialty,DoctorContact,locationId,experience_years,available_hours,description,embedding_vector
713,Morganica,Nephrology,.@yopmail.com,114,4,10 AM - 8 PM,Experienced in Nephrology,
110,Maud,Cardiology,.@yopmail.com,115,2,9 AM - 7 PM,Experienced in Cardiology,
288,Dominga,Radiology,.@yopmail.com,116,16,9 AM - 7 PM,Experienced in Radiology,
706,Robbi,Dermatology,.@yopmail.com,117,26,9 AM - 7 PM,Experienced in Dermatology,
543,Orelia,Radiology,.@yopmail.com,118,21,11 AM - 9 PM,Experienced in Radiology,
362,Charissa,Internists,.@yopmail.com,119,28,9 AM - 7 PM,Experienced in Internists,
104,Cacilie,Emergency Medicine,.@yopmail.com,120,10,9 AM - 7 PM,Experienced in Emergency Medicine,
625,Beverley,Endocrinologist,.@yopmail.com,121,28,8 AM - 6 PM,Experienced in Endocrinologist,
286,Arlina,Radiology,.@yopmail.com,122,23,11 AM - 9 PM,Experienced in Radiology,
679,Debee,Otolaryngologists,.@yopmail.com,123,11,9 AM - 7 PM,Experienced in Otolaryngologists,
801,Brooks,Dermatology,.@yopmail.com,124,30,9 AM - 7 PM,Experienced in Dermatology,
120,Lilith,Dermatology,.@yopmail.com,125,23,7 AM - 5 PM,Experienced in Dermatology,
359,Katharina,Anesthesiology,.@yopmail.com,126,22,11 AM - 9 PM,Experienced in Anesthesiology,
262,Adele,Cardiology,.@yopmail.com,127,8,11 AM - 9 PM,Experienced in Cardiology,
414,Joeann,Otolaryngologists,.@yopmail.com,128,28,8 AM - 6 PM,Experienced in Otolaryngologists,
545,Oona,Pediatrics,.@yopmail.com,129,27,9 AM - 7 PM,Experienced in Pediatrics,
485,Tera,Otolaryngologists,.@yopmail.com,130,28,11 AM - 9 PM,Experienced in Otolaryngologists,
802,Kial,Allergists,.@yopmail.com,131,4,10 AM - 8 PM,Experienced in Allergists,
328,Anallese,Endocrinologist,.@yopmail.com,132,2,10 AM - 8 PM,Experienced in Endocrinologist,
930,Raf,Family Medicine,.@yopmail.com,133,23,7 AM - 5 PM,Experienced in Family Medicine,
890,Fredericka,Internists,.@yopmail.com,134,2,10 AM - 8 PM,Experienced in Internists,
700,Katleen,Ophthalmology,.@yopmail.com,135,2,9 AM - 7 PM,Experienced in Ophthalmology,
640,Rani,Radiology,.@yopmail.com,136,15,7 AM - 5 PM,Experienced in Radiology,
634,Britni,Oncologist,.@yopmail.com,137,27,9 AM - 7 PM,Experienced in Oncologist,
364,Aurelie,Nephrology,.@yopmail.com,138,7,9 AM - 7 PM,Experienced in Nephrology,
886,Calla,Gastroenterology,.@yopmail.com,139,18,10 AM - 8 PM,Experienced in Gastroenterology,
519,Maryellen,Endocrinologist,.@yopmail.com,140,4,9 AM - 7 PM,Experienced in Endocrinologist,
202,Di,Pulmonologists,.@yopmail.com,141,19,11 AM - 9 PM,Experienced in Pulmonologists,
883,Teriann,Psychiatry,.@yopmail.com,142,16,8 AM - 6 PM,Experienced in Psychiatry,
747,Elie,Ophthalmology,.@yopmail.com,143,26,9 AM - 7 PM,Experienced in Ophthalmology,
472,Mildrid,Oncologist,.@yopmail.com,144,25,7 AM - 5 PM,Experienced in Oncologist,
269,Cathyleen,Family Medicine,.@yopmail.com,145,25,10 AM - 8 PM,Experienced in Family Medicine,
459,Alex,Pediatrics,.@yopmail.com,146,17,7 AM - 5 PM,Experienced in Pediatrics,
785,Shandie,Radiology,.@yopmail.com,147,4,10 AM - 8 PM,Experienced in Radiology,
495,Aeriela,Otolaryngologists,.@yopmail.com,148,10,10 AM - 8 PM,Experienced in Otolaryngologists,
452,Minne,Critical Care Medicine,.@yopmail.com,149,27,7 AM - 5 PM,Experienced in Critical Care Medicine,
470,Etta,Family Medicine,.@yopmail.com,150,2,11 AM - 9 PM,Experienced in Family Medicine,
314,Ernesta,Nephrology,.@yopmail.com,151,28,10 AM - 8 PM,Experienced in Nephrology,
566,Leontine,Surgery,.@yopmail.com,152,28,11 AM - 9 PM,Experienced in Surgery,
491,Ivett,Infectious disease,.@yopmail.com,153,20,9 AM - 7 PM,Experienced in Infectious disease,
879,Micheline,Ophthalmology,.@yopmail.com,154,5,8 AM - 6 PM,Experienced in Ophthalmology,
348,Modestia,Anesthesiology,.@yopmail.com,155,5,11 AM - 9 PM,Experienced in Anesthesiology,
194,Valli,Neurology,.@yopmail.com,156,23,9 AM - 7 PM,Experienced in Neurology,
580,Lynnea,Internists,.@yopmail.com,157,11,10 AM - 8 PM,Experienced in Internists,
760,Orsola,Oncologist,.@yopmail.com,158,21,8 AM - 6 PM,Experienced in Oncologist,
728,Eugine,Gastroenterology,.@yopmail.com,159,26,7 AM - 5 PM,Experienced in Gastroenterology,
829,Molli,Anesthesiology,.@yopmail.com,160,22,8 AM - 6 PM,Experienced in Anesthesiology,
559,Ottilie,Otolaryngologists,.@yopmail.com,161,29,8 AM - 6 PM,Experienced in Otolaryngologists,
934,Lorie,Neurology,.@yopmail.com,162,28,7 AM - 5 PM,Experienced in Neurology,
235,Mariann,Radiology,.@yopmail.com,163,24,8 AM - 6 PM,Experienced in Radiology,
256,Inga,Hospice and Palliative Care,.@yopmail.com,164,30,7 AM - 5 PM,Experienced in Hospice and Palliative Care,
449,Harmonia,Infectious disease,.@yopmail.com,165,13,7 AM - 5 PM,Experienced in Infectious disease,
924,Roslyn,Surgery,.@yopmail.com,166,24,9 AM - 7 PM,Experienced in Surgery,
915,Marti,Pulmonologists,.@yopmail.com,167,4,11 AM - 9 PM,Experienced in Pulmonologists,
956,Merry,Pulmonologists,.@yopmail.com,168,18,10 AM - 8 PM,Experienced in Pulmonologists,
745,Lenna,Pediatrics,.@yopmail.com,169,9,11 AM - 9 PM,Experienced in Pediatrics,
236,Morganica,Radiology,.@yopmail.com,170,8,11 AM - 9 PM,Experienced in Radiology,
617,Charissa,Geriatrician,.@yopmail.com,171,10,9 AM - 7 PM,Experienced in Geriatrician,
832,Ulrike,Infectious disease,.@yopmail.com,172,10,11 AM - 9 PM,Experienced in Infectious disease,
241,Merci,Allergists,.@yopmail.com,173,13,10 AM - 8 PM,Experienced in Allergists,
931,Micheline,Otolaryngologists,.@yopmail.com,174,24,9 AM - 7 PM,Experienced in Otolaryngologists,
439,Noelle,Gastroenterology,.@yopmail.com,175,28,11 AM - 9 PM,Experienced in Gastroenterology,
499,Karlee,Anesthesiology,.@yopmail.com,176,22,8 AM - 6 PM,Experienced in Anesthesiology,
159,Georgetta,Infectious disease,.@yopmail.com,177,19,9 AM - 7 PM,Experienced in Infectious disease,
428,Moyna,Pulmonologists,.@yopmail.com,178,15,7 AM - 5 PM,Experienced in Pulmonologists,
956,Frank,Critical Care Medicine,.@yopmail.com,179,17,11 AM - 9 PM,Experienced in Critical Care Medicine,
803,Bernardine,Otolaryngologists,.@yopmail.com,180,29,11 AM - 9 PM,Experienced in Otolaryngologists,
648,Marcelline,Psychiatry,.@yopmail.com,181,18,11 AM - 9 PM,Experienced in Psychiatry,
540,Talya,Otolaryngologists,.@yopmail.com,182,19,7 AM - 5 PM,Experienced in Otolaryngologists,
117,Alex,Dermatology,.@yopmail.com,183,26,8 AM - 6 PM,Experienced in Dermatology,
831,Trudie,Cardiology,.@yopmail.com,184,17,9 AM - 7 PM,Experienced in Cardiology,
345,Phedra,Dermatology,.@yopmail.com,185,1,11 AM - 9 PM,Experienced in Dermatology,
417,Molli,Allergists,.@yopmail.com,186,2,11 AM - 9 PM,Experienced in Allergists,
157,Mellicent,Infectious disease,.@yopmail.com,187,3,8 AM - 6 PM,Experienced in Infectious disease,
603,Christal,Pulmonologists,.@yopmail.com,188,15,9 AM - 7 PM,Experienced in Pulmonologists,
245,Mahalia,Surgery,.@yopmail.com,189,24,8 AM - 6 PM,Experienced in Surgery,
164,Alyssa,Emergency Medicine,.@yopmail.com,190,26,9 AM - 7 PM,Experienced in Emergency Medicine,
260,Dorthy,Gastroenterology,.@yopmail.com,191,21,8 AM - 6 PM,Experienced in Gastroenterology,
656,Merrie,Ophthalmology,.@yopmail.com,192,3,7 AM - 5 PM,Experienced in Ophthalmology,
338,Taffy,Neurology,.@yopmail.com,193,8,7 AM - 5 PM,Experienced in Neurology,
605,Jean,Ophthalmology,.@yopmail.com,194,13,10 AM - 8 PM,Experienced in Ophthalmology,
552,Florencia,Oncologist,.@yopmail.com,195,20,8 AM - 6 PM,Experienced in Oncologist,
748,Nanete,Oncologist,.@yopmail.com,196,6,7 AM - 5 PM,Experienced in Oncologist,
776,Carilyn,Otolaryngologists,.@yopmail.com,197,29,11 AM - 9 PM,Experienced in Otolaryngologists,
153,Chastity,Radiology,.@yopmail.com,198,22,11 AM - 9 PM,Experienced in Radiology,
888,Grier,Dermatology,.@yopmail.com,199,29,8 AM - 6 PM,Experienced in Dermatology,
565,Rozele,Neurology,.@yopmail.com,200,13,7 AM - 5 PM,Experienced in Neurology,
526,Karly,Internists,.@yopmail.com,201,28,8 AM - 6 PM,Experienced in Internists,
473,Dulcinea,Dermatology,.@yopmail.com,202,3,7 AM - 5 PM,Experienced in Dermatology,
714,Brianna,Dermatology,.@yopmail.com,203,4,8 AM - 6 PM,Experienced in Dermatology,
947,Margalo,Otolaryngologists,.@yopmail.com,204,21,8 AM - 6 PM,Experienced in Otolaryngologists,
290,Bernie,Anesthesiology,.@yopmail.com,205,16,9 AM - 7 PM,Experienced in Anesthesiology,
984,Dacia,Gastroenterology,.@yopmail.com,206,24,11 AM - 9 PM,Experienced in Gastroenterology,
808,Max,Dermatology,.@yopmail.com,207,2,9 AM - 7 PM,Experienced in Dermatology,
829,Agnese,Pediatrics,.@yopmail.com,208,11,9 AM - 7 PM,Experienced in Pediatrics,
610,Yvonne,Radiology,.@yopmail.com,209,10,7 AM - 5 PM,Experienced in Radiology,
569,Corina,Otolaryngologists,.@yopmail.com,210,11,8 AM - 6 PM,Experienced in Otolaryngologists,
163,Candi,Critical Care Medicine,.@yopmail.com,211,3,11 AM - 9 PM,Experienced in Critical Care Medicine,
680,Emma,Emergency Medicine,.@yopmail.com,212,8,9 AM - 7 PM,Experienced in Emergency Medicine,
566,Hallie,Allergists,.@yopmail.com,213,3,11 AM - 9 PM,Experienced in Allergists,
484,Nanete,Hospice and Palliative Care,.@yopmail.com,214,2,7 AM - 5 PM,Experienced in Hospice and Palliative Care,
534,Pierette,Pediatrics,.@yopmail.com,215,25,9 AM - 7 PM,Experienced in Pediatrics,
165,Deane,Anesthesiology,.@yopmail.com,216,21,11 AM - 9 PM,Experienced in Anesthesiology,
583,Gabi,Nephrology,.@yopmail.com,217,3,11 AM - 9 PM,Experienced in Nephrology,
935,Misha,Oncologist,.@yopmail.com,218,17,10 AM - 8 PM,Experienced in Oncologist,
479,Madeleine,Critical Care Medicine,.@yopmail.com,219,15,7 AM - 5 PM,Experienced in Critical Care Medicine,
210,Dorene,Nephrology,.@yopmail.com,220,24,8 AM - 6 PM,Experienced in Nephrology,
852,Dennie,Obstetric Anesthesiologists,.@yopmail.com,221,1,8 AM - 6 PM,Experienced in Obstetric Anesthesiologists,
650,Genevra,Oncologist,.@yopmail.com,222,11,8 AM - 6 PM,Experienced in Oncologist,
600,Philis,Internists,.@yopmail.com,223,15,9 AM - 7 PM,Experienced in Internists,
678,Dania,Infectious disease,.@yopmail.com,224,15,10 AM - 8 PM,Experienced in Infectious disease,
704,Sybille,Infectious disease,.@yopmail.com,225,10,9 AM - 7 PM,Experienced in Infectious disease,
363,Joleen,Gastroenterology,.@yopmail.com,226,4,9 AM - 7 PM,Experienced in Gastroenterology,
854,Talya,Emergency Medicine,.@yopmail.com,227,18,7 AM - 5 PM,Experienced in Emergency Medicine,
586,Desirae,Gastroenterology,.@yopmail.com,228,21,8 AM - 6 PM,Experienced in Gastroenterology,
198,Tilly,Cardiology,.@yopmail.com,229,16,11 AM - 9 PM,Experienced in Cardiology,
990,Vanessa,Gastroenterology,.@yopmail.com,230,19,8 AM - 6 PM,Experienced in Gastroenterology,
975,Hettie,Allergists,.@yopmail.com,231,19,7 AM - 5 PM,Experienced in Allergists,
439,Daune,Ophthalmology,.@yopmail.com,232,11,10 AM - 8 PM,Experienced in Ophthalmology,
332,Valli,Radiology,.@yopmail.com,233,15,11 AM - 9 PM,Experienced in Radiology,
869,Aili,Otolaryngologists,.@yopmail.com,234,26,7 AM - 5 PM,Experienced in Otolaryngologists,
282,Cherilyn,Oncologist,.@yopmail.com,235,3,8 AM - 6 PM,Experienced in Oncologist,
149,Krystle,Obstetric Anesthesiologists,.@yopmail.com,236,28,8 AM - 6 PM,Experienced in Obstetric Anesthesiologists,
924,Andeee,Ophthalmology,.@yopmail.com,237,9,9 AM - 7 PM,Experienced in Ophthalmology,
124,Steffane,Nephrology,.@yopmail.com,238,6,10 AM - 8 PM,Experienced in Nephrology,
644,Corina,Nephrology,.@yopmail.com,239,22,11 AM - 9 PM,Experienced in Nephrology,
769,Corry,Geriatrician,.@yopmail.com,240,20,10 AM - 8 PM,Experienced in Geriatrician,
638,Flo,Radiology,.@yopmail.com,241,14,8 AM - 6 PM,Experienced in Radiology,
105,Lynea,Emergency Medicine,.@yopmail.com,242,9,8 AM - 6 PM,Experienced in Emergency Medicine,
787,Taffy,Otolaryngologists,.@yopmail.com,243,10,7 AM - 5 PM,Experienced in Otolaryngologists,
632,Melina,Emergency Medicine,.@yopmail.com,244,6,7 AM - 5 PM,Experienced in Emergency Medicine,
794,Henriette,Cardiology,.@yopmail.com,245,6,9 AM - 7 PM,Experienced in Cardiology,
652,Jessy,Oncologist,.@yopmail.com,246,5,9 AM - 7 PM,Experienced in Oncologist,
161,Jolyn,Gastroenterology,.@yopmail.com,247,27,8 AM - 6 PM,Experienced in Gastroenterology,
539,Gianina,Obstetric Anesthesiologists,.@yopmail.com,248,25,9 AM - 7 PM,Experienced in Obstetric Anesthesiologists,
821,Farrah,Geriatrician,.@yopmail.com,249,4,8 AM - 6 PM,Experienced in Geriatrician,
226,Minda,Obstetric Anesthesiologists,.@yopmail.com,250,19,10 AM - 8 PM,Experienced in Obstetric Anesthesiologists,
731,Joane,Neurology,.@yopmail.com,251,25,10 AM - 8 PM,Experienced in Neurology,
218,Carree,Geriatrician,.@yopmail.com,252,17,10 AM - 8 PM,Experienced in Geriatrician,
419,Livvyy,Infectious disease,.@yopmail.com,253,12,7 AM - 5 PM,Experienced in Infectious disease,
457,Siana,Oncologist,.@yopmail.com,254,1,11 AM - 9 PM,Experienced in Oncologist,
327,Heddie,Psychiatry,.@yopmail.com,255,7,11 AM - 9 PM,Experienced in Psychiatry,
749,Charlena,Critical Care Medicine,.@yopmail.com,256,11,10 AM - 8 PM,Experienced in Critical Care Medicine,
905,Minne,Dermatology,.@yopmail.com,257,18,9 AM - 7 PM,Experienced in Dermatology,
736,Candi,Oncologist,.@yopmail.com,258,30,8 AM - 6 PM,Experienced in Oncologist,
801,Dominga,Pulmonologists,.@yopmail.com,259,12,11 AM - 9 PM,Experienced in Pulmonologists,
848,Tina,Otolaryngologists,.@yopmail.com,260,28,8 AM - 6 PM,Experienced in Otolaryngologists,
369,Nannie,Oncologist,.@yopmail.com,261,29,9 AM - 7 PM,Experienced in Oncologist,
714,Nerta,Internists,.@yopmail.com,262,10,7 AM - 5 PM,Experienced in Internists,
712,Emmey,Oncologist,.@yopmail.com,263,9,7 AM - 5 PM,Experienced in Oncologist,
598,Fanchon,Pediatrics,.@yopmail.com,264,4,8 AM - 6 PM,Experienced in Pediatrics,
668,Jessamyn,Infectious disease,.@yopmail.com,265,12,11 AM - 9 PM,Experienced in Infectious disease,
527,Jacquetta,Ophthalmology,.@yopmail.com,266,24,7 AM - 5 PM,Experienced in Ophthalmology,
826,Rosene,Psychiatry,.@yopmail.com,267,23,7 AM - 5 PM,Experienced in Psychiatry,
974,Laure,Radiology,.@yopmail.com,268,3,11 AM - 9 PM,Experienced in Radiology,
431,Ermengarde,Oncologist,.@yopmail.com,269,18,11 AM - 9 PM,Experienced in Oncologist,
853,Goldie,Ophthalmology,.@yopmail.com,270,20,11 AM - 9 PM,Experienced in Ophthalmology,
707,Karolina,Internists,.@yopmail.com,271,5,9 AM - 7 PM,Experienced in Internists,
538,Gisela,Endocrinologist,.@yopmail.com,272,24,8 AM - 6 PM,Experienced in Endocrinologist,
